# 0.997425
Q1757191	2	0	It	_prp_	PRP	O	c.	O	O/0.999629	O/0.999629	_COMP_/0.000081	_YES_/0.000291
Q1757191	5	0	In	in	IN	O	O	O	O/0.999979	O/0.999979	_COMP_/0.000008	_YES_/0.000013
Q1757191	5	1	1654	1654	CD	DATE	O	O	O/0.999995	O/0.999995	_COMP_/0.000001	_YES_/0.000004
Q1757191	5	2	the	the	DT	O	O	O	O/0.999990	O/0.999990	_COMP_/0.000002	_YES_/0.000009
Q1757191	5	3	community	community	NN	O	O	O	O/0.999997	O/0.999997	_COMP_/0.000001	_YES_/0.000002
Q1757191	5	4	had	have	VBD	O	O	O	O/0.999940	O/0.999940	_COMP_/0.000055	_YES_/0.000004
Q1757191	5	5	36	_num_	CD	NUMBER	house	O	O/0.984251	O/0.984251	_COMP_/0.000068	_YES_/0.015681
Q1757191	5	6	farm	farm	NN	O	O	O	O/0.999987	O/0.999987	_COMP_/0.000003	_YES_/0.000010
Q1757191	5	7	houses	house	NNS	O	O	O	O/0.999960	O/0.999960	_COMP_/0.000029	_YES_/0.000010
Q1757191	5	8	and	and	CC	O	O	O	O/0.991666	O/0.991666	_COMP_/0.008293	_YES_/0.000041
Q1757191	5	9	60	_num_	CD	NUMBER	house	O	O/0.987691	O/0.987691	_COMP_/0.000049	_YES_/0.012260
Q1757191	5	10	craftsman	craftsman	NN	O	O	O	O/0.999995	O/0.999995	_COMP_/0.000001	_YES_/0.000003
Q1757191	5	11	houses	house	NNS	O	O	O	O/0.999987	O/0.999987	_COMP_/0.000011	_YES_/0.000003
Q1757191	5	12	,	,	,	O	O	O	O/0.999902	O/0.999902	_COMP_/0.000083	_YES_/0.000015
Q1757191	5	13	mainly	mainly	RB	O	O	O	O/0.999994	O/0.999994	_COMP_/0.000002	_YES_/0.000004
Q1757191	5	14	linen	linen	NN	O	O	O	O/0.999993	O/0.999993	_COMP_/0.000002	_YES_/0.000005
Q1757191	5	15	weavers	weaver	NNS	O	O	O	O/0.999991	O/0.999991	_COMP_/0.000002	_YES_/0.000007
Q1757191	5	16	.	.	.	O	O	O	O/0.999924	O/0.999924	_COMP_/0.000059	_YES_/0.000018

# 0.998709
Q1757191	8	0	In	in	IN	O	O	O	O/0.999979	O/0.999979	_COMP_/0.000008	_YES_/0.000013
Q1757191	8	1	1910	1910	CD	DATE	O	O	O/0.999995	O/0.999995	_COMP_/0.000001	_YES_/0.000004
Q1757191	8	2	the	the	DT	O	O	O	O/0.999990	O/0.999990	_COMP_/0.000002	_YES_/0.000009
Q1757191	8	3	town	town	NN	O	O	O	O/0.999997	O/0.999997	_COMP_/0.000001	_YES_/0.000002
Q1757191	8	4	reached	reach	VBD	O	O	O	O/0.999996	O/0.999996	_COMP_/0.000001	_YES_/0.000003
Q1757191	8	5	its	its	PRP$	O	O	O	O/0.999975	O/0.999975	_COMP_/0.000004	_YES_/0.000022
Q1757191	8	6	greatest	greatest	JJS	O	O	O	O/0.999989	O/0.999989	_COMP_/0.000003	_YES_/0.000008
Q1757191	8	7	population	population	NN	O	O	O	O/0.999993	O/0.999993	_COMP_/0.000003	_YES_/0.000004
Q1757191	8	8	,	,	,	O	O	O	O/0.999980	O/0.999980	_COMP_/0.000013	_YES_/0.000008
Q1757191	8	9	with	with	IN	O	O	O	O/0.999994	O/0.999994	_COMP_/0.000003	_YES_/0.000003
Q1757191	8	10	6930	_num_	CD	NUMBER	inhabitant	O	O/0.999235	O/0.999235	_COMP_/0.000017	_YES_/0.000748
Q1757191	8	11	inhabitants	inhabitant	NNS	O	O	O	O/0.999997	O/0.999997	_COMP_/0.000001	_YES_/0.000002
Q1757191	8	12	.	.	.	O	O	O	O/0.999587	O/0.999587	_COMP_/0.000402	_YES_/0.000012

# 0.998804
Q1757191	10	0	The	the	DT	O	O	O	O/0.999984	O/0.999984	_COMP_/0.000006	_YES_/0.000010
Q1757191	10	1	expulsion	expulsion	NN	O	O	O	O/0.999996	O/0.999996	_COMP_/0.000001	_YES_/0.000003
Q1757191	10	2	of	of	IN	O	O	O	O/0.999991	O/0.999991	_COMP_/0.000001	_YES_/0.000008
Q1757191	10	3	Germans	german	NNS	MISC	O	O	O/0.999987	O/0.999987	_COMP_/0.000003	_YES_/0.000011
Q1757191	10	4	after	after	IN	O	O	O	O/0.999993	O/0.999993	_COMP_/0.000002	_YES_/0.000005
Q1757191	10	7	World_War_II	_propernoun_	NNP	MISC	O	O	O/0.999997	O/0.999997	_COMP_/0.000001	_YES_/0.000001
Q1757191	10	8	in	in	IN	O	O	O	O/0.999996	O/0.999996	_COMP_/0.000001	_YES_/0.000002
Q1757191	10	9	1945	1945	CD	DATE	O	O	O/0.999992	O/0.999992	_COMP_/0.000002	_YES_/0.000006
Q1757191	10	10	--	--	:	O	O	O	O/0.999993	O/0.999993	_COMP_/0.000002	_YES_/0.000005
Q1757191	10	11	1946	1946	CD	DATE	O	O	O/0.999997	O/0.999997	_COMP_/0.000001	_YES_/0.000001
Q1757191	10	12	reduced	reduce	VBD	O	O	O	O/0.999992	O/0.999992	_COMP_/0.000003	_YES_/0.000005
Q1757191	10	13	the	the	DT	O	O	O	O/0.999995	O/0.999995	_COMP_/0.000002	_YES_/0.000003
Q1757191	10	14	population	population	NN	O	O	O	O/0.999991	O/0.999991	_COMP_/0.000003	_YES_/0.000006
Q1757191	10	15	by	by	IN	O	O	O	O/0.999996	O/0.999996	_COMP_/0.000001	_YES_/0.000003
Q1757191	10	16	half	half	NN	O	O	O	O/0.999990	O/0.999990	_COMP_/0.000002	_YES_/0.000008
Q1757191	10	17	and	and	CC	O	O	O	O/0.999975	O/0.999975	_COMP_/0.000016	_YES_/0.000009
Q1757191	10	18	more	more	JJR	O	O	O	O/0.999991	O/0.999991	_COMP_/0.000003	_YES_/0.000006
Q1757191	10	19	than	than	IN	O	O	O	O/0.999988	O/0.999988	_COMP_/0.000008	_YES_/0.000004
Q1757191	10	20	300	_num_	CD	NUMBER	house	O	O/0.999088	O/0.999088	_COMP_/0.000026	_YES_/0.000887
Q1757191	10	21	deserted	desert	VBN	O	O	O	O/0.999996	O/0.999996	_COMP_/0.000001	_YES_/0.000002
Q1757191	10	22	houses	house	NNS	O	O	O	O/0.999981	O/0.999981	_COMP_/0.000015	_YES_/0.000004
Q1757191	10	23	were	be	VBD	O	O	O	O/0.999982	O/0.999982	_COMP_/0.000012	_YES_/0.000006
Q1757191	10	24	demolished	demolish	VBN	O	O	O	O/0.999994	O/0.999994	_COMP_/0.000002	_YES_/0.000004
Q1757191	10	25	,	,	,	O	O	O	O/0.999988	O/0.999988	_COMP_/0.000008	_YES_/0.000004
Q1757191	10	26	others	other	NNS	O	O	O	O/0.999990	O/0.999990	_COMP_/0.000001	_YES_/0.000009
Q1757191	10	27	dilapidated	dilapidated	JJ	O	O	O	O/0.999993	O/0.999993	_COMP_/0.000002	_YES_/0.000005
Q1757191	10	28	.	.	.	O	O	O	O/0.999940	O/0.999940	_COMP_/0.000038	_YES_/0.000022

# 0.994592
Q1757191	11	0	One	_num_	CD	NUMBER	O	O	O/0.999889	O/0.999889	_COMP_/0.000006	_YES_/0.000105
Q1757191	11	1	of	of	IN	O	O	O	O/0.999999	O/0.999999	_COMP_/0.000000	_YES_/0.000001
Q1757191	11	2	the	the	DT	O	O	O	O/0.999984	O/0.999984	_COMP_/0.000008	_YES_/0.000008
Q1757191	11	3	Germans	Germans	NNPS	MISC	O	O	O/0.999989	O/0.999989	_COMP_/0.000007	_YES_/0.000004
Q1757191	11	4	who	who	WP	O	O	O	O/0.999998	O/0.999998	_COMP_/0.000001	_YES_/0.000001
Q1757191	11	5	was	be	VBD	O	O	O	O/0.999987	O/0.999987	_COMP_/0.000003	_YES_/0.000010
Q1757191	11	6	deported	deport	VBN	O	O	O	O/0.999994	O/0.999994	_COMP_/0.000002	_YES_/0.000004
Q1757191	11	7	from	from	IN	O	O	O	O/0.999997	O/0.999997	_COMP_/0.000001	_YES_/0.000002
Q1757191	11	8	the	the	DT	O	O	O	O/0.999964	O/0.999964	_COMP_/0.000003	_YES_/0.000033
Q1757191	11	9	Sudetenland	_propernoun_	NNP	LOCATION	O	O	O/0.999992	O/0.999992	_COMP_/0.000002	_YES_/0.000005
Q1757191	11	10	was	be	VBD	O	O	O	O/0.999999	O/0.999999	_COMP_/0.000000	_YES_/0.000001
Q1757191	11	12	Gerhard_Mitter	_propernoun_	NNP	PERSON	O	O	O/0.999994	O/0.999994	_COMP_/0.000001	_YES_/0.000005
Q1757191	11	13	,	,	,	O	O	O	O/0.999996	O/0.999996	_COMP_/0.000002	_YES_/0.000002
Q1757191	11	14	then	then	RB	O	O	O	O/0.999992	O/0.999992	_COMP_/0.000001	_YES_/0.000008
Q1757191	11	15	age	age	NN	O	O	O	O/0.999967	O/0.999967	_COMP_/0.000025	_YES_/0.000008
Q1757191	11	16	10	_num_	CD	NUMBER	age	O	O/0.994929	O/0.994929	_COMP_/0.000044	_YES_/0.005027
Q1757191	11	17	,	,	,	O	O	O	O/0.999985	O/0.999985	_COMP_/0.000008	_YES_/0.000006
Q1757191	11	18	who	who	WP	O	O	O	O/0.999988	O/0.999988	_COMP_/0.000009	_YES_/0.000003
Q1757191	11	19	would	would	MD	O	O	O	O/0.999989	O/0.999989	_COMP_/0.000007	_YES_/0.000004
Q1757191	11	20	become	become	VB	O	O	O	O/0.999992	O/0.999992	_COMP_/0.000002	_YES_/0.000007
Q1757191	11	21	a	a	DT	O	O	O	O/0.999994	O/0.999994	_COMP_/0.000002	_YES_/0.000004
Q1757191	11	22	race	race	NN	O	O	O	O/0.999995	O/0.999995	_COMP_/0.000002	_YES_/0.000003
Q1757191	11	23	driver	driver	NN	O	O	O	O/0.999994	O/0.999994	_COMP_/0.000002	_YES_/0.000004
Q1757191	11	24	for	for	IN	O	O	O	O/0.999986	O/0.999986	_COMP_/0.000003	_YES_/0.000010
Q1757191	11	25	Porsche	_propernoun_	NNP	O	O	O	O/0.999990	O/0.999990	_COMP_/0.000003	_YES_/0.000007
Q1757191	11	26	.	.	.	O	O	O	O/0.999981	O/0.999981	_COMP_/0.000016	_YES_/0.000004

# 0.969847
Q316474	4	0	Tabuelan	_propernoun_	NNP	PERSON	O	O	O/0.999982	O/0.999982	_COMP_/0.000008	_YES_/0.000010
Q316474	4	1	comprises	comprise	VBZ	O	O	O	O/0.999246	O/0.999246	_COMP_/0.000726	_YES_/0.000028
Q316474	4	2	12	_num_	CD	NUMBER	barangay	_YES_	_YES_/0.971572	O/0.028370	_COMP_/0.000058	_YES_/0.971572
Q316474	4	3	barangays	barangay	NNS	O	O	O	O/0.999857	O/0.999857	_COMP_/0.000032	_YES_/0.000111
Q316474	4	4	:	:	:	O	O	O	O/0.999153	O/0.999153	_COMP_/0.000813	_YES_/0.000035

# 0.969847
Q174305	3	1	Enrique_Villanueva	_propernoun_	NNP	PERSON	O	O	O/0.999982	O/0.999982	_COMP_/0.000008	_YES_/0.000010
Q174305	3	2	comprises	comprise	VBZ	O	O	O	O/0.999246	O/0.999246	_COMP_/0.000726	_YES_/0.000028
Q174305	3	3	14	_num_	CD	NUMBER	barangay	_YES_	_YES_/0.971572	O/0.028370	_COMP_/0.000058	_YES_/0.971572
Q174305	3	4	barangays	barangay	NNS	O	O	O	O/0.999857	O/0.999857	_COMP_/0.000032	_YES_/0.000111
Q174305	3	5	:	:	:	O	O	O	O/0.999153	O/0.999153	_COMP_/0.000813	_YES_/0.000035

# 0.927137
Q5210069	2	0	,	,	,	O	O	O	O/0.999922	O/0.999922	_COMP_/0.000051	_YES_/0.000027
Q5210069	2	1	it	_prp_	PRP	O	have	O	O/0.999936	O/0.999936	_COMP_/0.000011	_YES_/0.000054
Q5210069	2	2	had	have	VBD	O	O	O	O/0.999304	O/0.999304	_COMP_/0.000543	_YES_/0.000154
Q5210069	2	3	58	_num_	CD	NUMBER	village	_YES_	_YES_/0.928193	O/0.071733	_COMP_/0.000074	_YES_/0.928193
Q5210069	2	4	villages	village	NNS	O	O	O	O/0.999862	O/0.999862	_COMP_/0.000017	_YES_/0.000122
Q5210069	2	5	under	under	IN	O	O	O	O/0.999979	O/0.999979	_COMP_/0.000012	_YES_/0.000009
Q5210069	2	6	its	its	PRP$	O	O	O	O/0.999976	O/0.999976	_COMP_/0.000014	_YES_/0.000011
Q5210069	2	7	administration	administration	NN	O	O	O	O/0.999991	O/0.999991	_COMP_/0.000003	_YES_/0.000006
Q5210069	2	8	.	.	.	O	O	O	O/0.999946	O/0.999946	_COMP_/0.000041	_YES_/0.000013

# 0.926453
Q4276710	2	0	,	,	,	O	O	O	O/0.999922	O/0.999922	_COMP_/0.000051	_YES_/0.000027
Q4276710	2	1	it	_prp_	PRP	O	have	O	O/0.999940	O/0.999940	_COMP_/0.000007	_YES_/0.000053
Q4276710	2	2	has	have	VBZ	O	O	O	O/0.999926	O/0.999926	_COMP_/0.000055	_YES_/0.000018
Q4276710	2	3	three	_num_	CD	NUMBER	community	O	O/0.929559	O/0.929559	_COMP_/0.000086	_YES_/0.070355
Q4276710	2	4	residential	residential	JJ	O	O	O	O/0.999964	O/0.999964	_COMP_/0.000005	_YES_/0.000030
Q4276710	2	5	communities	community	NNS	O	O	O	O/0.999984	O/0.999984	_COMP_/0.000008	_YES_/0.000008
Q4276710	2	6	-LRB-	-lrb-	-LRB-	O	O	O	O/0.999968	O/0.999968	_COMP_/0.000027	_YES_/0.000005
Q4276710	2	7	社区	社区	NN	O	O	O	O/0.999994	O/0.999994	_COMP_/0.000002	_YES_/0.000004
Q4276710	2	8	-RRB-	-rrb-	-RRB-	O	O	O	O/0.999996	O/0.999996	_COMP_/0.000002	_YES_/0.000002
Q4276710	2	9	and	and	CC	O	O	O	O/0.999697	O/0.999697	_COMP_/0.000290	_YES_/0.000013
Q4276710	2	10	43	_num_	CD	NUMBER	village	O	O/0.997011	O/0.997011	_COMP_/0.000020	_YES_/0.002969
Q4276710	2	11	villages	village	NNS	O	O	O	O/0.999998	O/0.999998	_COMP_/0.000000	_YES_/0.000001
Q4276710	2	12	under	under	IN	O	O	O	O/0.999985	O/0.999985	_COMP_/0.000012	_YES_/0.000003
Q4276710	2	13	its	its	PRP$	O	O	O	O/0.999976	O/0.999976	_COMP_/0.000014	_YES_/0.000011
Q4276710	2	14	administration	administration	NN	O	O	O	O/0.999991	O/0.999991	_COMP_/0.000003	_YES_/0.000006
Q4276710	2	15	.	.	.	O	O	O	O/0.999946	O/0.999946	_COMP_/0.000041	_YES_/0.000013

# 0.922076
Q11082531	2	0	,	,	,	O	O	O	O/0.999922	O/0.999922	_COMP_/0.000051	_YES_/0.000027
Q11082531	2	1	it	_prp_	PRP	O	have	O	O/0.999940	O/0.999940	_COMP_/0.000007	_YES_/0.000053
Q11082531	2	2	has	have	VBZ	O	O	O	O/0.999926	O/0.999926	_COMP_/0.000055	_YES_/0.000018
Q11082531	2	3	two	_num_	CD	NUMBER	community	O	O/0.929559	O/0.929559	_COMP_/0.000086	_YES_/0.070355
Q11082531	2	4	residential	residential	JJ	O	O	O	O/0.999964	O/0.999964	_COMP_/0.000005	_YES_/0.000030
Q11082531	2	5	communities	community	NNS	O	O	O	O/0.999984	O/0.999984	_COMP_/0.000008	_YES_/0.000008
Q11082531	2	6	-LRB-	-lrb-	-LRB-	O	O	O	O/0.999968	O/0.999968	_COMP_/0.000027	_YES_/0.000005
Q11082531	2	7	-RRB-	-rrb-	-RRB-	O	O	O	O/0.999994	O/0.999994	_COMP_/0.000002	_YES_/0.000004
Q11082531	2	8	and	and	CC	O	O	O	O/0.999327	O/0.999327	_COMP_/0.000664	_YES_/0.000009
Q11082531	2	9	27	_num_	CD	NUMBER	village	O	O/0.992289	O/0.992289	_COMP_/0.000026	_YES_/0.007684
Q11082531	2	10	villages	village	NNS	O	O	O	O/0.999998	O/0.999998	_COMP_/0.000001	_YES_/0.000001
Q11082531	2	11	under	under	IN	O	O	O	O/0.999985	O/0.999985	_COMP_/0.000012	_YES_/0.000003
Q11082531	2	12	its	its	PRP$	O	O	O	O/0.999976	O/0.999976	_COMP_/0.000014	_YES_/0.000011
Q11082531	2	13	administration	administration	NN	O	O	O	O/0.999991	O/0.999991	_COMP_/0.000003	_YES_/0.000006
Q11082531	2	14	.	.	.	O	O	O	O/0.999946	O/0.999946	_COMP_/0.000041	_YES_/0.000013

# 0.999820
Q1287241	2	0	The	the	DT	O	O	O	O/0.999986	O/0.999986	_COMP_/0.000005	_YES_/0.000009
Q1287241	2	1	municipality	municipality	NN	O	O	O	O/0.999996	O/0.999996	_COMP_/0.000001	_YES_/0.000003
Q1287241	2	2	covers	cover	VBZ	O	O	O	O/0.999990	O/0.999990	_COMP_/0.000001	_YES_/0.000008
Q1287241	2	3	an	a	DT	O	O	O	O/0.999992	O/0.999992	_COMP_/0.000002	_YES_/0.000006
Q1287241	2	4	area	area	NN	O	O	O	O/0.999989	O/0.999989	_COMP_/0.000003	_YES_/0.000008
Q1287241	2	5	of	of	IN	O	O	O	O/0.999996	O/0.999996	_COMP_/0.000001	_YES_/0.000003
Q1287241	2	6	,	,	,	O	O	O	O/0.999984	O/0.999984	_COMP_/0.000009	_YES_/0.000007
Q1287241	2	7	and	and	CC	O	O	O	O/0.999984	O/0.999984	_COMP_/0.000006	_YES_/0.000010
Q1287241	2	8	has	have	VBZ	O	O	O	O/0.999998	O/0.999998	_COMP_/0.000001	_YES_/0.000002
Q1287241	2	9	a	a	DT	O	O	O	O/0.999994	O/0.999994	_COMP_/0.000001	_YES_/0.000005
Q1287241	2	10	population	population	NN	O	O	O	O/0.999995	O/0.999995	_COMP_/0.000002	_YES_/0.000003
Q1287241	2	11	of	of	IN	O	O	O	O/0.999994	O/0.999994	_COMP_/0.000001	_YES_/0.000005
Q1287241	2	12	1,416	_num_	CD	NUMBER	O	O	O/0.999983	O/0.999983	_COMP_/0.000001	_YES_/0.000016
Q1287241	2	13	-LRB-	-lrb-	-LRB-	O	O	O	O/0.999998	O/0.999998	_COMP_/0.000001	_YES_/0.000001
Q1287241	2	14	as	as	RB	O	O	O	O/0.999993	O/0.999993	_COMP_/0.000006	_YES_/0.000001
Q1287241	2	15	at	at	IN	O	O	O	O/0.999994	O/0.999994	_COMP_/0.000005	_YES_/0.000001
Q1287241	2	16	28	28	CD	DATE	O	O	O/0.999994	O/0.999994	_COMP_/0.000002	_YES_/0.000004
Q1287241	2	17	August	_propernoun_	NNP	DATE	O	O	O/0.999997	O/0.999997	_COMP_/0.000001	_YES_/0.000002
Q1287241	2	18	2006	2006	CD	DATE	O	O	O/0.999998	O/0.999998	_COMP_/0.000001	_YES_/0.000001
Q1287241	2	19	-RRB-	-rrb-	-RRB-	O	O	O	O/0.999991	O/0.999991	_COMP_/0.000002	_YES_/0.000007
Q1287241	2	20	.	.	.	O	O	O	O/0.999973	O/0.999973	_COMP_/0.000018	_YES_/0.000009

# 0.922076
Q7418211	2	0	,	,	,	O	O	O	O/0.999922	O/0.999922	_COMP_/0.000051	_YES_/0.000027
Q7418211	2	1	it	_prp_	PRP	O	have	O	O/0.999940	O/0.999940	_COMP_/0.000007	_YES_/0.000053
Q7418211	2	2	has	have	VBZ	O	O	O	O/0.999926	O/0.999926	_COMP_/0.000055	_YES_/0.000018
Q7418211	2	3	15	_num_	CD	NUMBER	community	O	O/0.929559	O/0.929559	_COMP_/0.000086	_YES_/0.070355
Q7418211	2	4	residential	residential	JJ	O	O	O	O/0.999964	O/0.999964	_COMP_/0.000005	_YES_/0.000030
Q7418211	2	5	communities	community	NNS	O	O	O	O/0.999984	O/0.999984	_COMP_/0.000008	_YES_/0.000008
Q7418211	2	6	-LRB-	-lrb-	-LRB-	O	O	O	O/0.999968	O/0.999968	_COMP_/0.000027	_YES_/0.000005
Q7418211	2	7	-RRB-	-rrb-	-RRB-	O	O	O	O/0.999994	O/0.999994	_COMP_/0.000002	_YES_/0.000004
Q7418211	2	8	and	and	CC	O	O	O	O/0.999327	O/0.999327	_COMP_/0.000664	_YES_/0.000009
Q7418211	2	9	19	_num_	CD	NUMBER	village	O	O/0.992289	O/0.992289	_COMP_/0.000026	_YES_/0.007684
Q7418211	2	10	villages	village	NNS	O	O	O	O/0.999998	O/0.999998	_COMP_/0.000001	_YES_/0.000001
Q7418211	2	11	under	under	IN	O	O	O	O/0.999985	O/0.999985	_COMP_/0.000012	_YES_/0.000003
Q7418211	2	12	its	its	PRP$	O	O	O	O/0.999976	O/0.999976	_COMP_/0.000014	_YES_/0.000011
Q7418211	2	13	administration	administration	NN	O	O	O	O/0.999991	O/0.999991	_COMP_/0.000003	_YES_/0.000006
Q7418211	2	14	.	.	.	O	O	O	O/0.999946	O/0.999946	_COMP_/0.000041	_YES_/0.000013

# 0.927137
Q5295934	2	0	,	,	,	O	O	O	O/0.999922	O/0.999922	_COMP_/0.000051	_YES_/0.000027
Q5295934	2	1	it	_prp_	PRP	O	have	O	O/0.999936	O/0.999936	_COMP_/0.000011	_YES_/0.000054
Q5295934	2	2	has	have	VBZ	O	O	O	O/0.999304	O/0.999304	_COMP_/0.000543	_YES_/0.000154
Q5295934	2	3	37	_num_	CD	NUMBER	village	_YES_	_YES_/0.928193	O/0.071733	_COMP_/0.000074	_YES_/0.928193
Q5295934	2	4	villages	village	NNS	O	O	O	O/0.999862	O/0.999862	_COMP_/0.000017	_YES_/0.000122
Q5295934	2	5	under	under	IN	O	O	O	O/0.999979	O/0.999979	_COMP_/0.000012	_YES_/0.000009
Q5295934	2	6	its	its	PRP$	O	O	O	O/0.999976	O/0.999976	_COMP_/0.000014	_YES_/0.000011
Q5295934	2	7	administration	administration	NN	O	O	O	O/0.999991	O/0.999991	_COMP_/0.000003	_YES_/0.000006
Q5295934	2	8	.	.	.	O	O	O	O/0.999946	O/0.999946	_COMP_/0.000041	_YES_/0.000013

# 0.991098
Q6692	2	0	It	_prp_	PRP	O	located	O	O/0.999614	O/0.999614	_COMP_/0.000084	_YES_/0.000302
Q6692	2	1	is	be	VBZ	O	O	O	O/0.999997	O/0.999997	_COMP_/0.000001	_YES_/0.000002
Q6692	2	2	located	located	JJ	O	O	O	O/0.999966	O/0.999966	_COMP_/0.000003	_YES_/0.000030
Q6692	2	3	on	on	IN	O	O	O	O/0.999993	O/0.999993	_COMP_/0.000002	_YES_/0.000005
Q6692	2	4	the	the	DT	O	O	O	O/0.999995	O/0.999995	_COMP_/0.000001	_YES_/0.000004
Q6692	2	5	river	river	NN	O	O	O	O/0.999994	O/0.999994	_COMP_/0.000002	_YES_/0.000004
Q6692	2	6	Wesenitz	_propernoun_	NNP	LOCATION	O	O	O/0.999997	O/0.999997	_COMP_/0.000001	_YES_/0.000002
Q6692	2	7	,	,	,	O	O	O	O/0.999958	O/0.999958	_COMP_/0.000033	_YES_/0.000009
Q6692	2	8	6	_num_	CD	NUMBER	O	O	O/0.999393	O/0.999393	_COMP_/0.000003	_YES_/0.000604
Q6692	2	9	km	km	NN	O	O	O	O/0.999996	O/0.999996	_COMP_/0.000001	_YES_/0.000003
Q6692	2	10	west	west	NN	O	O	O	O/0.999985	O/0.999985	_COMP_/0.000010	_YES_/0.000005
Q6692	2	11	of	of	IN	O	O	O	O/0.999990	O/0.999990	_COMP_/0.000007	_YES_/0.000003
Q6692	2	12	Stolpen	_propernoun_	NNP	LOCATION	O	O	O/0.999995	O/0.999995	_COMP_/0.000002	_YES_/0.000003
Q6692	2	13	,	,	,	O	O	O	O/0.999982	O/0.999982	_COMP_/0.000014	_YES_/0.000004
Q6692	2	14	9	_num_	CD	NUMBER	O	O	O/0.999862	O/0.999862	_COMP_/0.000001	_YES_/0.000137
Q6692	2	15	km	km	NN	O	O	O	O/0.999996	O/0.999996	_COMP_/0.000001	_YES_/0.000003
Q6692	2	16	northeast	northeast	NN	O	O	O	O/0.999985	O/0.999985	_COMP_/0.000010	_YES_/0.000005
Q6692	2	17	of	of	IN	O	O	O	O/0.999990	O/0.999990	_COMP_/0.000007	_YES_/0.000003
Q6692	2	18	Pirna	_propernoun_	NNP	LOCATION	O	O	O/0.999995	O/0.999995	_COMP_/0.000002	_YES_/0.000003
Q6692	2	19	and	and	CC	O	O	O	O/0.999301	O/0.999301	_COMP_/0.000690	_YES_/0.000010
Q6692	2	20	18	_num_	CD	NUMBER	km	O	O/0.992469	O/0.992469	_COMP_/0.000024	_YES_/0.007508
Q6692	2	21	km	km	NN	O	O	O	O/0.999995	O/0.999995	_COMP_/0.000001	_YES_/0.000003
Q6692	2	22	east	east	JJ	O	O	O	O/0.999988	O/0.999988	_COMP_/0.000010	_YES_/0.000003
Q6692	2	23	of	of	IN	O	O	O	O/0.999990	O/0.999990	_COMP_/0.000007	_YES_/0.000003
Q6692	2	24	Dresden	_propernoun_	NNP	LOCATION	O	O	O/0.999996	O/0.999996	_COMP_/0.000001	_YES_/0.000002
Q6692	2	25	.	.	.	O	O	O	O/0.999983	O/0.999983	_COMP_/0.000013	_YES_/0.000004

# 0.997247
Q815541	2	0	It	_prp_	PRP	O	have	O	O/0.999724	O/0.999724	_COMP_/0.000064	_YES_/0.000212
Q815541	2	1	has	have	VBZ	O	O	O	O/0.999998	O/0.999998	_COMP_/0.000000	_YES_/0.000001
